# Generated by src/org/elixir_lang/annotator/unicode_security/generate.exs from https://github.com/elixir-lang/elixir/tree/7b20c281d521aa7aa2ad2baa1e9ae6c579d79d0c/lib/elixir/unicode
# for Elixir 1.18.4. Do not edit.
#
#     <first code point>\t<last code point>\t<u upper, s start, c continue>\t<script set: indexes into scripts, or * for all>
scripts	Latin	Arabic	Armenian	Avestan	Bengali	Bopomofo	Carian	Caucasian_Albanian	Chakma	Cherokee	Coptic	Cyrillic	Devanagari	Dogra	Duployan	Elbasan	Ethiopic	Georgian	Glagolitic	Gothic	Grantha	Greek	Gujarati	Gunjala_Gondi	Gurmukhi	Han	Han with Bopomofo	Hangul	Hebrew	Hiragana	Japanese	Kaithi	Kannada	Katakana	Khmer	Khojki	Korean	Lao	Lisu	Lydian	Mahajani	Malayalam	Multani	Myanmar	Nandinagari	Old_Permic	Oriya	Osage	Shavian	Sinhala	Sunuwar	Syloti_Nagri	Syriac	Tai_Le	Tamil	Telugu	Thaana	Thai	Tibetan	Tifinagh	Todhri	Toto	Tulu_Tigalari	Yezidi	Yi
51B	51B	s	11
51C	51C	u	11
51D	51D	s	11
51E	51E	u	11
51F	51F	s	11
520	520	u	11
521	521	s	11
522	522	u	11
523	523	s	11
524	524	u	11
525	525	s	11
526	526	u	11
527	527	s	11
528	528	u	11
529	529	s	11
52E	52E	u	11
52F	52F	s	11
531	556	u	2
559	559	s	2
561	586	s	2
5B4	5B4	c	28
5D0	5EA	s	28
5EF	5F2	s	28
620	63F	s	1
641	64A	s	1
64B	655	c	1,52
660	669	c	1,56,63
670	670	c	1,52
671	672	s	1
674	674	s	1
679	68D	s	1
68F	6A0	s	1
6A2	6D3	s	1
6D5	6D5	s	1
6E5	6E6	s	1
6EE	6EF	s	1
6F0	6F9	c	1
6FA	6FC	s	1
6FF	6FF	s	1
750	77F	s	1
780	7A5	s	56
7A6	7B0	c	56
7B1	7B1	s	56
870	887	s	1
889	88E	s	1
8A0	8AC	s	1
8B2	8B2	s	1
8B5	8C9	s	1
901	903	c	12
904	939	s	12
93A	93C	c	12
93D	93D	s	12
93E	94D	c	12
94F	94F	c	12
950	950	s	12
956	957	c	12
960	961	s	12
962	963	c	12
966	96F	c	12,13,31,40
971	977	s	12
979	97F	s	12
981	983	c	4
985	98C	s	4
98F	990	s	4
993	9A8	s	4
9AA	9B0	s	4
9B2	9B2	s	4
9B6	9B9	s	4
9BC	9BC	c	4
9BD	9BD	s	4
9BE	9C4	c	4
9C7	9C8	c	4
9CB	9CD	c	4
9CE	9CE	s	4
9D7	9D7	c	4
9E0	9E1	s	4
9E2	9E3	c	4
9E6	9EF	c	4,8,51
9F0	9F1	s	4
9FE	9FE	c	4
A01	A03	c	24
A05	A0A	s	24
A0F	A10	s	24
A13	A28	s	24
A2A	A30	s	24
A32	A32	s	24
A35	A35	s	24
A38	A39	s	24
A3C	A3C	c	24
A3E	A42	c	24
A47	A48	c	24
A4B	A4D	c	24
A5C	A5C	s	24
A66	A6F	c	24,42
A70	A71	c	24
A72	A74	s	24
A81	A83	c	22
A85	A8D	s	22
A8F	A91	s	22
A93	AA8	s	22
AAA	AB0	s	22
AB2	AB3	s	22
AB5	AB9	s	22
ABC	ABC	c	22
ABD	ABD	s	22
ABE	AC5	c	22
AC7	AC9	c	22
ACB	ACD	c	22
AD0	AD0	s	22
AE0	AE1	s	22
AE2	AE3	c	22
AE6	AEF	c	22,35
AFA	AFF	c	22
B01	B03	c	46
B05	B0C	s	46
B0F	B10	s	46
B13	B28	s	46
B2A	B30	s	46
B32	B33	s	46
B35	B39	s	46
B3C	B3C	c	46
B3D	B3D	s	46
B3E	B43	c	46
B47	B48	c	46
B4B	B4D	c	46
B55	B57	c	46
B5F	B61	s	46
B66	B6F	c	46
B71	B71	s	46
B82	B82	c	54
B83	B83	s	54
B85	B8A	s	54
B8E	B90	s	54
B92	B95	s	54
B99	B9A	s	54
B9C	B9C	s	54
B9E	B9F	s	54
BA3	BA4	s	54
BA8	BAA	s	54
BAE	BB9	s	54
BBE	BC2	c	54
BC6	BC8	c	54
BCA	BCD	c	54
BD0	BD0	s	54
BD7	BD7	c	54
BE6	BEF	c	20,54
C01	C04	c	55
C05	C0C	s	55
C0E	C10	s	55
C12	C28	s	55
C2A	C33	s	55
C35	C39	s	55
C3C	C3C	c	55
C3D	C3D	s	55
C3E	C44	c	55
C46	C48	c	55
C4A	C4D	c	55
C55	C56	c	55
C5D	C5D	s	55
C60	C61	s	55
C66	C6F	c	55
C80	C80	s	32
C82	C83	c	32
C85	C8C	s	32
C8E	C90	s	32
C92	CA8	s	32
CAA	CB3	s	32
CB5	CB9	s	32
CBC	CBC	c	32
CBD	CBD	s	32
CBE	CC4	c	32
CC6	CC8	c	32
CCA	CCD	c	32
CD5	CD6	c	32
CDD	CDD	s	32
CE0	CE1	s	32
CE2	CE3	c	32
CE6	CEF	c	32,44,62
CF1	CF2	s	32
CF3	CF3	c	32
D00	D00	c	41
D02	D03	c	41
D05	D0C	s	41
D0E	D10	s	41
D12	D3A	s	41
D3D	D3D	s	41
D3E	D43	c	41
D46	D48	c	41
D4A	D4D	c	41
D4E	D4E	s	41
D54	D56	s	41
D57	D57	c	41
D60	D61	s	41
D66	D6F	c	41
D7A	D7F	s	41
D82	D83	c	49
D85	D8E	s	49
D91	D96	s	49
D9A	DA5	s	49
DA7	DB1	s	49
DB3	DBB	s	49
DBD	DBD	s	49
DC0	DC6	s	49
DCA	DCA	c	49
DCF	DD4	c	49
DD6	DD6	c	49
DD8	DDE	c	49
DF2	DF2	c	49
E01	E30	s	57
E31	E31	c	57
E32	E32	s	57
E34	E3A	c	57
E40	E46	s	57
E47	E4E	c	57
